21st Century Boys,Manga,16,Finished,Dec 25 2006 to Jul 14 2007,Mystery / Drama / Sci-Fi / Psychological / Seinen,Urasawa Naoki (Story & Art),Big Comic Spirits,8.46,129,199,22838
Bakuman,Manga,176,Finished,Aug 11 2008 to Apr 23 2012,Comedy / Drama / Romance / Shounen,Obata Takeshi (Art)  Ohba Tsugumi (Story),Shounen Jump (Weekly),8.46,130,25,64602
Lucifer and the Biscuit Hammer,Manga,65,Finished,Jun 30 2005 to Aug 30 2010,Action / Adventure / Comedy / Drama / Psychological / Seinen,Mizukami Satoshi (Story & Art),Young King OURs GH,8.46,131,202,16888
Nodame Cantabile,Manga,150,Finished,Jul 10 2001 to Aug 25 2010,Comedy / Romance / Slice of Life / Josei,Ninomiya Tomoko (Story & Art),Kiss,8.45,132,448,7886
Blade of the Immortal,Manga,207,Finished,Jun 25 1993 to Dec 25 2012,Action / Adventure / Drama / Historical / Martial Arts / Samurai / Supernatural / Seinen,Samura Hiroaki (Story & Art),Afternoon,8.45,133,177,12304
The Glass Mask,Manga,Ongoing,Publishing,Jan 1976 to ?,Drama / Romance / Shoujo,Miuchi Suzue (Story & Art),Hana to Yume,8.45,134,1507,2015
Spice & Wolf,Manga,108,Finished,Sep 27 2007 to Dec 27 2017,Adventure / Drama / Fantasy / Historical / Romance / Supernatural / Seinen,Koume Keito (Art)  Hasekura Isuna (Story),Dengeki Maoh,8.45,135,346,9281
Barakamon,Manga,135,Finished,Feb 22 2008 to Jan 10 2019,Comedy / Shounen / Slice of Life,Yoshino Satsuki (Story & Art),Gangan Online,8.45,136,374,7022
Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,Manga,27,Finished,Oct 22 2010 to Nov 22 2012,Mystery / Drama / Fantasy / Horror / Magic / Shounen / Supernatural / Psychological / Thriller,Ryukishi07 (Story)  Akitaka (Art),Gangan Joker,8.45,137,1546,3082
Annarasumanara,Manhwa,27,Finished,Jul 2 2010 to Dec 31 2010,Mystery / Drama / Romance / School / Psychological / Seinen,Ha Il-Kwon (Story & Art),Naver Webtoon,8.45,138,172,19974
Steins;Gate,Novel,17,Finished,Jun 30 2011 to May 31 2012,Sci / Sci-Fi / Thriller,Sakai Kyuuta (Art)  Miwa Kiyomune (Story),None,8.45,139,1890,1279
